QID	title	coordinates	genreLabel	countryOriginLabel	pubDate	long	lat
Q963743	The Wisdom of Ptahhotep	Point(31.3 29.8)	didactic literature	Ancient Egypt		31.3	29.8
Q1207595	Confessions	Point(2.0 47.0)	treatise	France	1782-01-01	2.0	47.0
Q1207595	Confessions	Point(2.0 47.0)	autobiography	France	1782-01-01	2.0	47.0
Q480	Don Quixote	Point(-3.5 40.2)	parody	Spain		-3.5	40.2
Q480	Don Quixote	Point(-3.5 40.2)	adventure fiction	Spain		-3.5	40.2
Q480	Don Quixote	Point(-3.5 40.2)	found manuscript	Spain		-3.5	40.2
Q480	Don Quixote	Point(-3.5 40.2)	chivalric romance	Spain		-3.5	40.2
Q480	Don Quixote	Point(-3.5 40.2)	parody	Spain		-3.5	40.2
Q480	Don Quixote	Point(-3.5 40.2)	adventure fiction	Spain		-3.5	40.2
Q480	Don Quixote	Point(-3.5 40.2)	found manuscript	Spain		-3.5	40.2
Q480	Don Quixote	Point(-3.5 40.2)	chivalric romance	Spain		-3.5	40.2
Q189350	30 Rock	Point(-98.5795 39.828175)	satirical film or television program	United States		-98.5795	39.828175
Q189350	30 Rock	Point(-98.5795 39.828175)	sitcom	United States		-98.5795	39.828175
Q3107329	The Hitchhiker's Guide to the Galaxy	Point(-2.0 54.6)	science fiction	United Kingdom	1979-10-12	-2.0	54.6
Q3107329	The Hitchhiker's Guide to the Galaxy	Point(-2.0 54.6)	science fiction comedy	United Kingdom	1979-10-12	-2.0	54.6
Q3107329	The Hitchhiker's Guide to the Galaxy	Point(-2.0 54.6)	comic novel	United Kingdom	1979-10-12	-2.0	54.6
Q1396889	Animal Farm	Point(-1.0 53.0)	fable	England	1945-08-17	-1.0	53.0
Q1396889	Animal Farm	Point(-1.0 53.0)	roman à clef	England	1945-08-17	-1.0	53.0
Q1396889	Animal Farm	Point(-1.0 53.0)	dystopian fiction	England	1945-08-17	-1.0	53.0
Q1396889	Animal Farm	Point(-1.0 53.0)	satirical fiction	England	1945-08-17	-1.0	53.0
Q1077445	Infinite Jest	Point(-98.5795 39.828175)	hysterical realism	United States	1996-02-01	-98.5795	39.828175
Q1077445	Infinite Jest	Point(-98.5795 39.828175)	postmodern literature	United States	1996-02-01	-98.5795	39.828175
Q1077445	Infinite Jest	Point(-98.5795 39.828175)	science fiction	United States	1996-02-01	-98.5795	39.828175
Q1107000	Babbitt	Point(-98.5795 39.828175)	satire	United States	1922-01-01	-98.5795	39.828175
Q181488	Gulliver's Travels	Point(-2.0 54.6)	fantasy	United Kingdom	1726-10-28	-2.0	54.6
Q181488	Gulliver's Travels	Point(-2.0 54.6)	dystopian fiction	United Kingdom	1726-10-28	-2.0	54.6
